status,function,function_new,Month,APP
realized,Old oGT,oGTa,June 2024,0.0
realized,Old oGV,oGV,June 2024,0.0
approved,Old oGT,oGTa,June 2024,0.0
approved,Old oGV,oGV,June 2024,0.0
approved,oGV,oGV,June 2024,0.0
approved,oGE,oGTa,June 2024,0.0
completed,Old iGV,iGV,June 2024,0.0
applied,Old oGV,oGV,June 2024,0.0
completed,iGTa,iGTa,June 2024,0.0
completed,iGTe,iGTe,June 2024,0.0
completed,oGE,oGTa,June 2024,0.0
approved,oGTe,oGTe,June 2024,0.0
completed,iGV,iGV,June 2024,0.0
completed,oGV,oGV,June 2024,0.0
approved,oGTa,oGTa,June 2024,0.0
completed,oGTa,oGTa,June 2024,0.0
completed,oGTe,oGTe,June 2024,0.0
completed,iGE,iGTa,June 2024,0.0
completed,Old iGT,iGTa,June 2024,0.0
completed,Old oGV,oGV,June 2024,0.0
completed,Old oGT,oGTa,June 2024,0.0
finished,iGE,iGTa,June 2024,0.0
applied,iGTa,iGTa,June 2024,0.0
applied,iGTe,iGTe,June 2024,0.0
finished,Old iGT,iGTa,June 2024,0.0
finished,Old iGV,iGV,June 2024,0.0
approved,Old iGT,iGTa,June 2024,0.0
applied,iGE,iGTa,June 2024,0.0
approved,iGE,iGTa,June 2024,0.0
applied,iGV,iGV,June 2024,0.0
approved,iGV,iGV,June 2024,0.0
applied,Old iGV,iGV,June 2024,0.0
approved,iGTe,iGTe,June 2024,0.0
applied,Old iGT,iGTa,June 2024,0.0
approved,iGTa,iGTa,June 2024,0.0
remote,oGTe,oGTe,June 2024,0.0
remote,oGTa,oGTa,June 2024,0.0
remote,iGTe,iGTe,June 2024,0.0
remote,Old oGV,oGV,June 2024,0.0
remote,iGTa,iGTa,June 2024,0.0
remote,iGV,iGV,June 2024,0.0
finished,oGTe,oGTe,June 2024,2.0
remote,Old oGT,oGTa,June 2024,0.0
finished,oGTa,oGTa,June 2024,1.0
remote,oGE,oGTa,June 2024,0.0
finished,oGV,oGV,June 2024,4.0
remote,oGV,oGV,June 2024,0.0
finished,oGE,oGTa,June 2024,0.0
remote,Old iGV,iGV,June 2024,0.0
applied,Old oGT,oGTa,June 2024,0.0
finished,Old oGT,oGTa,June 2024,0.0
finished,Old oGV,oGV,June 2024,0.0
applied,oGE,oGTa,June 2024,0.0
remote,iGE,iGTa,June 2024,0.0
applied,oGV,oGV,June 2024,0.0
applied,oGTa,oGTa,June 2024,0.0
remote,Old iGT,iGTa,June 2024,0.0
applied,oGTe,oGTe,June 2024,0.0
o,oGV,oGV,June 2024,0.0
o,oGT Old,oGTa,June 2024,0.0
o,oGE,oGTa,June 2024,0.0
o,oGV,oGV,June 2024,0.0
o,oGTa,oGTa,June 2024,0.0
o,oGTe,oGTe,June 2024,0.0
i,iGV,iGV,June 2024,0.0
i,iGT Old,iGTa,June 2024,0.0
i,iGE,iGTa,June 2024,0.0
i,iGV,iGV,June 2024,0.0
i,iGTa,iGTa,June 2024,0.0
i,iGTe,iGTe,June 2024,0.0
total,Total,Total,June 2024,0.0
total,Total,Total,June 2024,0.0
accepted,Total,Total,June 2024,0.0
total,Total,Total,June 2024,0.0
total,Total,Total,June 2024,2.0
realized,Total,Total,June 2024,0.0
total,Total,Total,June 2024,18.0
total,Total,Total,June 2024,0.0
realized,Old iGT,iGTa,July 2024,0.0
realized,Old iGV,iGV,July 2024,0.0
realized,iGTa,iGTa,July 2024,0.0
realized,iGV,iGV,July 2024,0.0
realized,iGTe,iGTe,July 2024,0.0
realized,iGE,iGTa,July 2024,0.0
approved,Old iGV,iGV,July 2024,0.0
finished,iGTa,iGTa,July 2024,0.0
finished,iGV,iGV,July 2024,0.0
finished,iGTe,iGTe,July 2024,1.0
realized,oGTe,oGTe,July 2024,0.0
realized,oGTa,oGTa,July 2024,0.0
realized,oGV,oGV,July 2024,0.0
realized,oGE,oGTa,July 2024,0.0
realized,Old oGT,oGTa,July 2024,0.0
realized,Old oGV,oGV,July 2024,0.0
approved,Old oGT,oGTa,July 2024,0.0
approved,Old oGV,oGV,July 2024,0.0
approved,oGV,oGV,July 2024,0.0
approved,oGE,oGTa,July 2024,0.0
completed,Old iGV,iGV,July 2024,0.0
applied,Old oGV,oGV,July 2024,0.0
completed,iGTa,iGTa,July 2024,0.0
completed,iGTe,iGTe,July 2024,0.0
completed,oGE,oGTa,July 2024,0.0
approved,oGTe,oGTe,July 2024,0.0
completed,iGV,iGV,July 2024,0.0
completed,oGV,oGV,July 2024,0.0
approved,oGTa,oGTa,July 2024,0.0
completed,oGTa,oGTa,July 2024,0.0
completed,oGTe,oGTe,July 2024,0.0
completed,iGE,iGTa,July 2024,0.0
completed,Old iGT,iGTa,July 2024,0.0
completed,Old oGV,oGV,July 2024,0.0
completed,Old oGT,oGTa,July 2024,0.0
finished,iGE,iGTa,July 2024,0.0
applied,iGTa,iGTa,July 2024,0.0
applied,iGTe,iGTe,July 2024,0.0
finished,Old iGT,iGTa,July 2024,0.0
finished,Old iGV,iGV,July 2024,0.0
approved,Old iGT,iGTa,July 2024,0.0
applied,iGE,iGTa,July 2024,0.0
approved,iGE,iGTa,July 2024,0.0
applied,iGV,iGV,July 2024,0.0
approved,iGV,iGV,July 2024,0.0
applied,Old iGV,iGV,July 2024,0.0
approved,iGTe,iGTe,July 2024,0.0
applied,Old iGT,iGTa,July 2024,0.0
approved,iGTa,iGTa,July 2024,0.0
remote,oGTe,oGTe,July 2024,0.0
remote,oGTa,oGTa,July 2024,0.0
remote,iGTe,iGTe,July 2024,0.0
remote,Old oGV,oGV,July 2024,0.0
remote,iGTa,iGTa,July 2024,0.0
remote,iGV,iGV,July 2024,0.0
finished,oGTe,oGTe,July 2024,2.0
remote,Old oGT,oGTa,July 2024,0.0
