status,function,function_new,Month,APP,Month in Dates,status2,Months for Analysis,Term
Finished,Old oGV,oGV,March 2021,0.0,2021-03-01,Finished,MAR,21.22
Applied,oGE,oGTa,March 2021,0.0,2021-03-01,Applied,MAR,21.22
Remote Realized,iGE,iGTa,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Applied,oGV,oGV,March 2021,2.0,2021-03-01,Applied,MAR,21.22
Applied,oGTa,oGTa,March 2021,8.0,2021-03-01,Applied,MAR,21.22
Remote Realized,Old iGT,iGTa,March 2021,0.0,2021-03-01,Remote Realized,MAR,21.22
Applied,oGTe,oGTe,March 2021,2.0,2021-03-01,Applied,MAR,21.22
Open,oGV,oGV,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,oGT Old,oGTa,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,oGE,oGTa,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,oGV,oGV,March 2021,23.0,2021-03-01,Open,MAR,21.22
Open,oGTa,oGTa,March 2021,28.0,2021-03-01,Open,MAR,21.22
Open,oGTe,oGTe,March 2021,1.0,2021-03-01,Open,MAR,21.22
Open,iGV,iGV,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,iGT Old,iGTa,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,iGE,iGTa,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,iGV,iGV,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,iGTa,iGTa,March 2021,0.0,2021-03-01,Open,MAR,21.22
Open,iGTe,iGTe,March 2021,4.0,2021-03-01,Open,MAR,21.22
Total,Total,Total,March 2021,84.0,2021-03-01,Total,MAR,21.22
Total,Total,Total,March 2021,5.0,2021-03-01,Total,MAR,21.22
Accepted L,Total,Total,March 2021,4.0,2021-03-01,Accepted L,MAR,21.22
Total,Total,Total,March 2021,0.0,2021-03-01,Total,MAR,21.22
Total,Total,Total,March 2021,1.0,2021-03-01,Total,MAR,21.22
Realized,Total,Total,March 2021,0.0,2021-03-01,Realized,MAR,21.22
Total,Total,Total,March 2021,1.0,2021-03-01,Total,MAR,21.22
Total,Total,Total,March 2021,0.0,2021-03-01,Total,MAR,21.22
Realized,Old iGT,iGTa,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,Old iGV,iGV,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,iGTa,iGTa,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,iGV,iGV,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,iGTe,iGTe,April 2021,0.0,2021-04-01,Realized,APR,21.22
Accepted,oGTe,oGTe,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Accepted,oGTa,oGTa,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Accepted,oGV,oGV,April 2021,1.0,2021-04-01,Accepted,APR,21.22
Realized,iGE,iGTa,April 2021,0.0,2021-04-01,Realized,APR,21.22
Accepted,iGV,iGV,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Accepted,iGE,iGTa,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Accepted,iGTa,iGTa,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Accepted,iGTe,iGTe,April 2021,4.0,2021-04-01,Accepted,APR,21.22
Accepted,Old iGT,iGTa,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Approved,Old iGV,iGV,April 2021,0.0,2021-04-01,Approved,APR,21.22
Accepted,Old iGV,iGV,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Finished,iGTa,iGTa,April 2021,0.0,2021-04-01,Finished,APR,21.22
Finished,iGV,iGV,April 2021,0.0,2021-04-01,Finished,APR,21.22
Finished,iGTe,iGTe,April 2021,1.0,2021-04-01,Finished,APR,21.22
Realized,oGTe,oGTe,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,oGTa,oGTa,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,oGV,oGV,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,oGE,oGTa,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,Old oGT,oGTa,April 2021,0.0,2021-04-01,Realized,APR,21.22
Realized,Old oGV,oGV,April 2021,0.0,2021-04-01,Realized,APR,21.22
Accepted,oGE,oGTa,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Approved,Old oGT,oGTa,April 2021,0.0,2021-04-01,Approved,APR,21.22
Approved,Old oGV,oGV,April 2021,0.0,2021-04-01,Approved,APR,21.22
Accepted,Old oGT,oGTa,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Approved,oGV,oGV,April 2021,0.0,2021-04-01,Approved,APR,21.22
Accepted,Old oGV,oGV,April 2021,0.0,2021-04-01,Accepted,APR,21.22
Approved,oGE,oGTa,April 2021,0.0,2021-04-01,Approved,APR,21.22
Completed,Old iGV,iGV,April 2021,0.0,2021-04-01,Completed,APR,21.22
Applied,Old oGV,oGV,April 2021,0.0,2021-04-01,Applied,APR,21.22
Completed,iGTa,iGTa,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,iGTe,iGTe,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,oGE,oGTa,April 2021,0.0,2021-04-01,Completed,APR,21.22
Approved,oGTe,oGTe,April 2021,0.0,2021-04-01,Approved,APR,21.22
Completed,iGV,iGV,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,oGV,oGV,April 2021,0.0,2021-04-01,Completed,APR,21.22
Approved,oGTa,oGTa,April 2021,0.0,2021-04-01,Approved,APR,21.22
Completed,oGTa,oGTa,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,oGTe,oGTe,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,iGE,iGTa,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,Old iGT,iGTa,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,Old oGV,oGV,April 2021,0.0,2021-04-01,Completed,APR,21.22
Completed,Old oGT,oGTa,April 2021,0.0,2021-04-01,Completed,APR,21.22
Finished,iGE,iGTa,April 2021,0.0,2021-04-01,Finished,APR,21.22
Applied,iGTa,iGTa,April 2021,0.0,2021-04-01,Applied,APR,21.22
Applied,iGTe,iGTe,April 2021,54.0,2021-04-01,Applied,APR,21.22
Finished,Old iGT,iGTa,April 2021,0.0,2021-04-01,Finished,APR,21.22
Finished,Old iGV,iGV,April 2021,0.0,2021-04-01,Finished,APR,21.22
Approved,Old iGT,iGTa,April 2021,0.0,2021-04-01,Approved,APR,21.22
Applied,iGE,iGTa,April 2021,0.0,2021-04-01,Applied,APR,21.22
Approved,iGE,iGTa,April 2021,0.0,2021-04-01,Approved,APR,21.22
Applied,iGV,iGV,April 2021,0.0,2021-04-01,Applied,APR,21.22
Approved,iGV,iGV,April 2021,0.0,2021-04-01,Approved,APR,21.22
Applied,Old iGV,iGV,April 2021,0.0,2021-04-01,Applied,APR,21.22
Approved,iGTe,iGTe,April 2021,1.0,2021-04-01,Approved,APR,21.22
Applied,Old iGT,iGTa,April 2021,0.0,2021-04-01,Applied,APR,21.22
Approved,iGTa,iGTa,April 2021,0.0,2021-04-01,Approved,APR,21.22
Remote Realized,oGTe,oGTe,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Remote Realized,oGTa,oGTa,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Remote Realized,iGTe,iGTe,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Remote Realized,Old oGV,oGV,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Remote Realized,iGTa,iGTa,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Remote Realized,iGV,iGV,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Finished,oGTe,oGTe,April 2021,0.0,2021-04-01,Finished,APR,21.22
Remote Realized,Old oGT,oGTa,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Finished,oGTa,oGTa,April 2021,0.0,2021-04-01,Finished,APR,21.22
Remote Realized,oGE,oGTa,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Finished,oGV,oGV,April 2021,0.0,2021-04-01,Finished,APR,21.22
Remote Realized,oGV,oGV,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Finished,oGE,oGTa,April 2021,0.0,2021-04-01,Finished,APR,21.22
Remote Realized,Old iGV,iGV,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Applied,Old oGT,oGTa,April 2021,0.0,2021-04-01,Applied,APR,21.22
Finished,Old oGT,oGTa,April 2021,0.0,2021-04-01,Finished,APR,21.22
Finished,Old oGV,oGV,April 2021,0.0,2021-04-01,Finished,APR,21.22
Applied,oGE,oGTa,April 2021,0.0,2021-04-01,Applied,APR,21.22
Remote Realized,iGE,iGTa,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Applied,oGV,oGV,April 2021,2.0,2021-04-01,Applied,APR,21.22
Applied,oGTa,oGTa,April 2021,7.0,2021-04-01,Applied,APR,21.22
Remote Realized,Old iGT,iGTa,April 2021,0.0,2021-04-01,Remote Realized,APR,21.22
Applied,oGTe,oGTe,April 2021,1.0,2021-04-01,Applied,APR,21.22
Open,oGV,oGV,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,oGT Old,oGTa,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,oGE,oGTa,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,oGV,oGV,April 2021,19.0,2021-04-01,Open,APR,21.22
Open,oGTa,oGTa,April 2021,25.0,2021-04-01,Open,APR,21.22
Open,oGTe,oGTe,April 2021,3.0,2021-04-01,Open,APR,21.22
Open,iGV,iGV,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,iGT Old,iGTa,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,iGE,iGTa,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,iGV,iGV,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,iGTa,iGTa,April 2021,0.0,2021-04-01,Open,APR,21.22
Open,iGTe,iGTe,April 2021,6.0,2021-04-01,Open,APR,21.22
Total,Total,Total,April 2021,64.0,2021-04-01,Total,APR,21.22
Total,Total,Total,April 2021,7.0,2021-04-01,Total,APR,21.22
Accepted L,Total,Total,April 2021,5.0,2021-04-01,Accepted L,APR,21.22
Total,Total,Total,April 2021,1.0,2021-04-01,Total,APR,21.22
Total,Total,Total,April 2021,0.0,2021-04-01,Total,APR,21.22
Realized,Total,Total,April 2021,0.0,2021-04-01,Realized,APR,21.22
Total,Total,Total,April 2021,1.0,2021-04-01,Total,APR,21.22
Total,Total,Total,April 2021,0.0,2021-04-01,Total,APR,21.22
Realized,Old iGT,iGTa,May 2021,0.0,2021-05-01,Realized,MAY,21.22
Realized,Old iGV,iGV,May 2021,0.0,2021-05-01,Realized,MAY,21.22
Realized,iGTa,iGTa,May 2021,0.0,2021-05-01,Realized,MAY,21.22
Realized,iGV,iGV,May 2021,0.0,2021-05-01,Realized,MAY,21.22
Realized,iGTe,iGTe,May 2021,0.0,2021-05-01,Realized,MAY,21.22
Accepted,oGTe,oGTe,May 2021,0.0,2021-05-01,Accepted,MAY,21.22
Accepted,oGTa,oGTa,May 2021,0.0,2021-05-01,Accepted,MAY,21.22
Accepted,oGV,oGV,May 2021,0.0,2021-05-01,Accepted,MAY,21.22
Realized,iGE,iGTa,May 2021,0.0,2021-05-01,Realized,MAY,21.22
Accepted,iGV,iGV,May 2021,1.0,2021-05-01,Accepted,MAY,21.22
Accepted,iGE,iGTa,May 2021,0.0,2021-05-01,Accepted,MAY,21.22
Accepted,iGTa,iGTa,May 2021,0.0,2021-05-01,Accepted,MAY,21.22
Accepted,iGTe,iGTe,May 2021,4.0,2021-05-01,Accepted,MAY,21.22
Accepted,Old iGT,iGTa,May 2021,0.0,2021-05-01,Accepted,MAY,21.22
Approved,Old iGV,iGV,May 2021,0.0,2021-05-01,Approved,MAY,21.22
Accepted,Old iGV,iGV,May 2021,0.0,2021-05-01,Accepted,MAY,21.22
